Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
a560ddbb-16fa-5ccd-9d7c-f52165a994ad,,ISO3166-1-051,País ISO 3166-1 051 - ARMENIA,País ISO 3166-1 051 - ARMENIA,ARMENIA,Código numérico 051 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
6d5a4a3d-7fac-55b8-9745-ac25cbdd0c1a,,ISO3166-1-052,País ISO 3166-1 052 - BARBADOS,País ISO 3166-1 052 - BARBADOS,BARBADOS,Código numérico 052 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
f75414a9-35dd-5f19-8144-2b10b76e31a0,,ISO3166-1-056,País ISO 3166-1 056 - BÉLGICA,País ISO 3166-1 056 - BÉLGICA,BÉLGICA,Código numérico 056 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
fe80befa-da5e-5b63-8acf-fe3fe641f53f,,ISO3166-1-060,País ISO 3166-1 060 - BERMUDAS,País ISO 3166-1 060 - BERMUDAS,BERMUDAS,Código numérico 060 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
d19b4003-9c13-54f6-acd8-fa16322ab341,,ISO3166-1-064,País ISO 3166-1 064 - BHUTÁN,País ISO 3166-1 064 - BHUTÁN,BHUTÁN,Código numérico 064 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
7e31769f-7818-5ee7-93fe-ac89c59f8d86,,ISO3166-1-068,País ISO 3166-1 068 - BOLIVIA,País ISO 3166-1 068 - BOLIVIA,BOLIVIA,Código numérico 068 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
1f865f11-2e52-52b6-b4e9-586b21b9287f,,ISO3166-1-070,País ISO 3166-1 070 - BOSNIA Y HERZEGOVINA,País ISO 3166-1 070 - BOSNIA Y HERZEGOVINA,BOSNIA Y HERZEGOVINA,Código numérico 070 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
14dbc27f-8508-50b2-9057-755a342ce057,,ISO3166-1-072,País ISO 3166-1 072 - BOTSUANA,País ISO 3166-1 072 - BOTSUANA,BOTSUANA,Código numérico 072 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a8ba9975-1003-5448-ba8e-f6a0b45c365d,,ISO3166-1-074,País ISO 3166-1 074 - ISLA BOUVET,País ISO 3166-1 074 - ISLA BOUVET,ISLA BOUVET,Código numérico 074 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
05e13af8-01dd-531c-a868-05fdec721c59,,ISO3166-1-076,País ISO 3166-1 076 - BRASIL,País ISO 3166-1 076 - BRASIL,BRASIL,Código numérico 076 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
1871bfdd-37a7-51e5-ad71-2296dd66d8ec,,ISO3166-1-084,País ISO 3166-1 084 - BELICE,País ISO 3166-1 084 - BELICE,BELICE,Código numérico 084 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
0e65f1a8-5877-5160-bfc2-1af151701c40,,ISO3166-1-086,País ISO 3166-1 086 - TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,País ISO 3166-1 086 - TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,Código numérico 086 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
377c48e5-6b1b-58d4-aa80-063d4795ba5d,,ISO3166-1-090,País ISO 3166-1 090 - ISLAS SOLOMÓN,País ISO 3166-1 090 - ISLAS SOLOMÓN,ISLAS SOLOMÓN,Código numérico 090 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
469c04de-eafb-5277-9f93-d00f277a6ed1,,ISO3166-1-092,País ISO 3166-1 092 - ISLAS VÍRGENES BRITÁNICAS,País ISO 3166-1 092 - ISLAS VÍRGENES BRITÁNICAS,ISLAS VÍRGENES BRITÁNICAS,Código numérico 092 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c1e98fde-9433-5cc4-b226-5620062bf53b,,ISO3166-1-096,País ISO 3166-1 096 - BRUNÉI,País ISO 3166-1 096 - BRUNÉI,BRUNÉI,Código numérico 096 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a66cb3f5-39f7-529f-9d28-e94e377e06fa,,ISO3166-1-100,País ISO 3166-1 100 - BULGARIA,País ISO 3166-1 100 - BULGARIA,BULGARIA,Código numérico 100 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
05ad6922-5886-51a1-a425-3fa7856bb679,,ISO3166-1-104,País ISO 3166-1 104 - MYANMAR,País ISO 3166-1 104 - MYANMAR,MYANMAR,Código numérico 104 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
b0160091-f485-5fcf-a40b-768df147fb8c,,ISO3166-1-108,País ISO 3166-1 108 - BURUNDI,País ISO 3166-1 108 - BURUNDI,BURUNDI,Código numérico 108 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
632e42f8-aef0-57e4-8423-e759262fca75,,ISO3166-1-112,País ISO 3166-1 112 - BELARÚS,País ISO 3166-1 112 - BELARÚS,BELARÚS,Código numérico 112 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
